-176.96 -29.25 202 30 93 18 60 88 9.560 26 010176         
-177.04 -29.69 200 26 95 15 64 88 6.020 27 011476         
-176.75 -28.72 189 11 71 28 80 93 8.180 27 011476         
-89.78 15.14 254 73 -10 347 80 -162 2.040 27 020476         
-177.51 -29.99 206 34 103 11 57 81 4.340 26 032476         
-177.43 -29.84 211 34 105 13 57 80 4.390 26 050576         
-78.11 7.32 78 67 161 176 72 24 9.660 26 071176         
-171.91 -16.77 317 41 45 190 62 122 10.300 26 040277         
-174.88 -26.10 18 38 -67 170 55 -107 10.170 26 101077         
-177.02 -30.60 195 29 80 26 61 95 3.940 26 020978         
-96.56 16.22 274 7 57 127 84 94 5.270 27 112978         
-72.48 -16.88 305 20 25 305 84 104 6.160 26 021679         
-141.39 60.50 271 13 96 84 77 89 1.880 27 022879         
-101.37 17.78 306 15 110 106 76 85 1.720 27 031479         
-78.81 2.32 30 16 118 181 76 83 1.690 28 121279         
-124.36 41.14 320 63 178 51 89 27 1.120 27 110880         
-173.16 -15.02 115 37 -73 273 55 -103 1.940 27 090181         
-73.15 -33.48 194 34 96 6 56 86 5.110 26 101681         
-102.00 18.28 287 20 82 115 70 93 7.000 26 102581         
-177.75 -29.86 203 28 104 7 63 83 4.570 26 122681         
-88.97 12.65 102 25 -106 299 66 -83 10.490 26 061982         
-175.10 -24.31 198 22 101 6 68 86 1.980 27 121982         
-83.25 8.85 310 25 110 108 67 81 1.820 27 040383         
-70.56 -26.01 9 20 110 168 71 83 3.380 27 100483         
-92.20 13.86 296 19 89 118 71 90 3.660 26 120283         
-71.71 -33.92 11 26 110 169 66 81 10.310 27 030385         
-71.79 -33.06 234 32 155 346 77 60 13.310 26 030485         
-71.86 -34.26 0 21 99 170 69 86 4.970 26 040985         
-101.99 17.91 301 18 105 106 73 85 10.990 27 091985         
-101.42 17.57 296 17 85 121 73 91 2.490 27 092185         
-175.43 51.33 246 22 85 72 68 92 10.360 27 050786         
-176.07 -27.93 270 56 158 13 71 36 4.520 27 102086         
-70.93 -24.38 12 23 106 175 68 83 2.480 27 030587         
-77.84 -0.06 195 27 98 7 64 86 6.370 26 030687         
-171.93 -18.29 352 42 -113 203 52 -70 8.870 26 100687         
-143.62 58.87 262 57 -6 356 85 -147 6.570 26 111787         
-142.04 58.17 355 70 -172 262 82 -20 7.270 27 113087         
-70.55 -24.86 353 17 87 177 73 91 3.520 26 011988         
-70.56 -24.93 353 17 82 181 73 92 6.630 26 020588         
-143.53 57.37 182 75 -168 89 79 -15 4.870 27 030688         
-72.83 -17.55 322 11 87 145 79 91 4.810 26 041288         
-172.28 -18.82 196 43 90 16 47 90 4.830 26 100888         
-157.23 55.66 247 8 95 62 82 89 4.570 26 090489         
-84.58 9.95 303 11 104 108 79 87 11.010 26 032590         
-82.77 10.10 103 25 58 318 69 104 3.310 27 042291         
-125.63 41.71 314 62 176 46 86 28 4.430 26 081791         
-77.18 4.80 13 13 95 188 77 89 7.320 26 111991       
-124.31 40.25 331 9 68 173 82 93 6.690 26 042592         
-116.65 34.65 341 70 -172 248 82 -20 10.580 26 062892         
-87.81 11.20 303 12 91 122 78 90 3.400 27 090292         
-76.34 7.27 270 45 167 9 81 46 5.710 26 101892       
-92.99 14.41 289 24 76 124 67 96 8.340 26 091093         
-125.78 40.59 274 65 176 6 86 25 3.880 26 090194         
-177.22 -29.13 197 28 95 11 62 87 6.220 26 070395         
-70.74 -24.17 354 22 87 177 68 91 12.150 27 073095         
-98.54 16.73 289 15 85 115 75 91 1.310 27 091495         
-77.53 -2.55 234 39 120 18 57 68 3.910 26 100395         
-104.80 19.34 302 9 92 120 81 90 11.470 27 100995         
-80.23 -9.95 335 14 88 157 76 91 2.230 27 022196         
-97.98 15.88 280 16 74 117 74 95 5.510 26 022596         
-177.41 51.10 248 17 84 74 74 92 8.050 27 061096         
-176.49 51.38 258 25 105 62 66 83 8.510 26 061096         
-75.37 -15.04 312 33 55 172 64 110 4.570 27 111296         
-102.58 18.34 175 18 -28 292 82 -106 6.060 26 011197         
-176.99 -28.83 195 29 90 15 61 90 3.470 26 092097         
-70.62 -24.02 8 17 105 172 74 86 4.430 26 013098         
-80.48 -0.57 27 15 124 172 78 82 6.370 26 080498         
-96.96 16.20 102 42 -103 300 49 -78 1.720 27 093099         
-116.27 34.71 336 80 174 67 85 10 5.980 26 101699         
-154.35 57.35 357 63 -180 267 90 -27 3.470 26 120699         
-89.13 12.97 121 35 -95 307 56 -86 4.570 27 011301         
-72.71 -17.28 310 18 63 159 74 98 4.670 28 062301         
-72.45 -17.45 306 14 52 165 79 99 3.200 27 070701         
-179.08 -36.70 55 42 116 202 53 68 5.160 26 082101         
-103.90 18.86 308 12 110 108 79 86 2.049 27 012203         
-77.57 4.72 21 11 114 177 79 85 7.575 26 111504         
-126.42 41.15 317 83 175 47 85 7 0.830 27 200506150250   
-77.04 -13.73 328 18 63 171 65 104 1.119 28 200708152340   
-70.62 -22.64 358 20 98 170 71 87 4.765 27 200711141540   
-179.27 51.02 274 21 118 64 72 80 7.207 26 200712190930   
-177.46 -29.85 197 32 92 15 58 89 4.460 26 200809291519   
-175.90 -27.27 274 38 179 5 90 52 3.474 26 200902182153   
-174.23 -23.08 205 44 98 14 46 82 3.401 27 200903191817   
-87.17 16.50 63 60 -7 156 84 -150 1.284 27 200905280824   
-171.97 -15.13 119 38 -131 346 62 -63 1.664 28 200909291748   
-72.62 18.61 152 69 159 250 71 22 4.394 26 201001122153   
-73.15 -35.98 19 18 116 172 74 82 1.858 29 201002270634   
-75.41 -38.09 3 46 -102 200 46 -78 1.361 27 201002270801   
-72.13 -34.53 16 6 -53 159 86 -93 3.490 26 201003111455   
-115.39 32.31 223 84 -2 313 88 -174 0.762 27 201004042240   
